date,URL,archived URL,notes
6 Aug 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110757,http://web.archive.org/web/20160226081408/http://www.presidency.ucsb.edu/ws/index.php?pid=110757,“undercard” debate
6 Aug 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110489,http://web.archive.org/web/20160226081537/http://www.presidency.ucsb.edu/ws/index.php?pid=110489,main debate
16 Sept 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110758,http://web.archive.org/web/20160226081818/http://www.presidency.ucsb.edu/ws/index.php?pid=110758,“undercard” debate
16 Sept 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110756,http://web.archive.org/web/20160226081951/http://www.presidency.ucsb.edu/ws/index.php?pid=110756,main debate
28 Oct 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110907,http://web.archive.org/web/20160226082323/http://www.presidency.ucsb.edu/ws/index.php?pid=110907,“undercard” debate
28 Oct 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110906,http://web.archive.org/web/20160226082524/http://www.presidency.ucsb.edu/ws/index.php?pid=110906,main debate
10 Nov 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110909,http://web.archive.org/web/20160226083127/http://www.presidency.ucsb.edu/ws/index.php?pid=110909,“undercard” debate
10 Nov 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=110908,http://web.archive.org/web/20160226083437/http://www.presidency.ucsb.edu/ws/index.php?pid=110908,main debate
15 Dec 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=111176,http://web.archive.org/web/20160226083628/http://www.presidency.ucsb.edu/ws/index.php?pid=111176,“undercard” debate
15 Dec 2015,http://www.presidency.ucsb.edu/ws/index.php?pid=111177,http://web.archive.org/web/20160226083805/http://www.presidency.ucsb.edu/ws/index.php?pid=111177,main debate
14 Jan 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111394,http://web.archive.org/web/20160226083937/http://www.presidency.ucsb.edu/ws/index.php?pid=111394,“undercard” debate
14 Jan 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111395,http://web.archive.org/web/20160226084232/http://www.presidency.ucsb.edu/ws/index.php?pid=111395,main debate
28 Jan 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111413,http://web.archive.org/web/20160226084812/http://www.presidency.ucsb.edu/ws/index.php?pid=111413,“undercard” debate
28 Jan 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111412,http://web.archive.org/web/20160226085238/http://www.presidency.ucsb.edu/ws/index.php?pid=111412,main debate
6 Feb 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111472,http://web.archive.org/web/20160226085748/http://www.presidency.ucsb.edu/ws/index.php?pid=111472,
13 Feb 2016,http://www.presidency.ucsb.edu/ws/index.php?pid=111500,http://web.archive.org/web/20160226085922/http://www.presidency.ucsb.edu/ws/index.php?pid=111500,
